UNDID,Reversed a previous action
WINCE,To give a slight involuntary grimace or shrinking movement of the body
WORST,Of the poorest quality or lowest standard
VERVE,Vigor and spirit or enthusiasm
CROCK,An earthenware pot or jar
SANER,More mentally sound or rational
BRAIN,An organ of soft nervous tissue contained in the skull of vertebrates
RANGE,The area of variation between upper and lower limits on a particular scale
GUILE,Sly or cunning intelligence
TUBER,A much thickened underground part of a stem or rhizome
SMITH,A worker in metal
MAGMA,Hot fluid or semifluid material below or within the earth's crust
STRAY,To move away aimlessly from a group
SHADE,Comparative darkness and coolness caused by shelter from direct sunlight
SCOFF,To speak to someone or about something in a scornfully derisive or mocking way
ADMIT,To confess to be true or to be the case
LEACH,To drain away from soil, ash, or similar material by the action of percolating liquid
AMONG,Situated in the middle of
ALONE,Having no one else present; on one's own
SPOON,An implement consisting of a small shallow bowl, oval or round, at the end of a handle
RARER,Less common or frequent
GASSY,Full of or resembling gas
JOUST,To engage in a sporting contest in which two opponents on horseback fight with lances
SPENT,Having been used and then discarded
GRASP,To seize and hold firmly
LINER,A ship or aircraft carrying passengers on a regular route
AVAIL,To help or benefit
GREED,Intense and selfish desire for something, especially wealth, power, or food
SUSHI,A Japanese dish consisting of small balls or rolls of vinegared cold cooked rice
MEALY,Resembling meal; powdery
PURGE,To rid someone of an unwanted feeling, memory, or condition
BLINK,To shut and open the eyes quickly
STRUT,To walk with a stiff, erect, and apparently arrogant or conceited gait
MADAM,A polite and formal way of addressing a woman
CLASS,A set or category of things having some property or attribute in common
SPELT,Past tense of spell
NOMAD,A member of a people having no permanent abode, who travel from place to place
ABHOR,To regard with disgust and hatred
KNEED,Past tense of knee
GRACE,Simple elegance or refinement of movement
PESTO,A sauce of crushed basil leaves, pine nuts, garlic, Parmesan cheese, and olive oil
KITTY,A cat or kitten
QUIRK,A peculiar behavioral habit
TRUNK,The main woody stem of a tree
GAUZE,A thin translucent fabric of silk, linen, or cotton
DROVE,Past tense of drive
CROWD,A large number of people gathered together in a public place
SOWER,A person who sows seeds
BISON,A humpbacked shaggy-haired wild ox
THROB,To beat or sound with a strong, regular rhythm
RAJAH,An Indian king or prince
CREED,A system of Christian or other religious belief; a faith
ANNEX,To append or add as an extra or subordinate part
STARE,To look fixedly or vacantly at someone or something with one's eyes wide open
FANCY,To feel a desire or liking for
SWORD,A weapon with a long metal blade and a hilt with a hand guard
AMAZE,To surprise someone greatly; fill with astonishment
AGING,Growing older
SHARK,A long-bodied, chiefly marine fish with a cartilaginous skeleton
CORNY,Trite, banal, or mawkishly sentimental
LASSO,A rope with a noose at one end
BOTCH,To carry out a task badly or carelessly
GLORY,High renown or honor won by notable achievements
SWATH,A broad strip or area of something
FETID,Smelling extremely unpleasant
BLUFF,An attempt to deceive someone into believing that one can or will do something
FRILL,A strip of gathered or pleated material used for trimming an edge
SLUNK,Past tense of slink
ADOPT,To legally take another's child and bring it up as one's own
FISHY,Relating to or resembling fish
SPILL,To cause or allow liquid to flow over the edge of its container
PIETY,The quality of being religious or reverent
GROAN,To make a deep, inarticulate sound in response to pain or despair
HABIT,A settled or regular tendency or practice
SLUNG,Past participle of sling
METAL,A solid material which is typically hard, shiny, malleable, fusible, and ductile
RHINO,A rhinoceros
UDDER,The mammary gland of female cattle, sheep, goats, or horses
DROSS,Something regarded as worthless; rubbish
PEARL,A hard, lustrous spherical mass, typically white or bluish-gray
ANTIC,Grotesque or bizarre
QUILT,A warm bed covering made of padding enclosed between layers of fabric
LOCUS,A particular position, point, or place
TEMPO,The speed at which a passage of music is or should be played
AUGUR,To portend a good or bad outcome
GLYPH,A hieroglyphic character or symbol; a pictograph
AWOKE,Past tense of awake
HASTE,Excessive speed or urgency of movement or action
PLUCK,To take hold of something and quickly remove it from its place
NEWER,More recent
GAUDY,Extravagantly bright or showy, typically so as to be tasteless
FUZZY,Having a frizzy, fluffy, or frayed texture or appearance
WHILE,A period of time
BLOKE,A man
TOPIC,A matter dealt with in a text, discourse, or conversation
BIOME,A large naturally occurring community of flora and fauna
REBAR,A reinforcing bar, especially one of steel for use in concrete
BEVEL,A slope from the horizontal or vertical in carpentry and stonework
LITHE,Thin, supple, and graceful
METER,The fundamental unit of length in the metric system
RIGID,Unable to bend or be forced out of shape; not flexible
PLUME,A long, soft feather or arrangement of feathers
KHAKI,A textile fabric of a dull brownish-yellow color
WRYLY,In a way that expresses dry, especially mocking, humor
PULSE,A rhythmical throbbing of the arteries as blood is propelled through them
BUDGE,To make or cause to make the slightest movement
DITTO,The same thing again
LIMIT,A point or level beyond which something does not or may not extend or pass
PEACH,A round stone fruit with juicy yellow flesh and downy, pinkish-yellow skin
BALMY,Pleasantly warm
AVOID,To keep away from or stop oneself from doing something
VIGOR,Physical strength and good health
EATER,A person or animal that eats
BRAID,To form hair or other material into a braid or braids
GROUT,A mortar or paste for filling crevices, especially the gaps between wall or floor tiles
ROTOR,A rotary part of a machine or vehicle
SCENE,The place where an incident in real life or fiction occurs or occurred
WALTZ,A dance in triple time performed by a couple
GLEAN,To extract information from various sources
MURAL,A painting or other work of art executed directly on a wall
FACET,One side of something many-sided, especially of a cut gem
WASTE,To use or expend carelessly, extravagantly, or to no purpose
WREST,To forcibly pull something from a person's grasp
FILET,A fleshy boneless piece of meat from near the loins or the ribs of an animal
QUASH,To reject or void, especially by legal procedure
CHEER,To shout for joy or in praise or encouragement
ROGUE,A dishonest or unprincipled man
STAID,Sedate, respectable, and unadventurous
FIFTY,The number equivalent to the product of five and ten
SNORT,An explosive sound made by the sudden forcing of breath through the nose
BOULE,A French game similar to bowls
SANDY,Covered with or consisting of sand
BERTH,A ship's allotted place at a wharf or dock
THIRD,Constituting number three in a sequence
QUALM,An uneasy feeling of doubt, worry, or fear
THUMB,The short, thick first digit of the human hand
PINEY,Relating to or resembling pine trees
MERCY,Compassion or forgiveness shown toward someone whom it is within one's power to punish or harm
BIBLE,The Christian scriptures
GROWL,To make a low guttural sound in the throat
DODGY,Dishonest or unreliable
VIXEN,A female fox
HARDY,Robust; capable of enduring difficult conditions
CLOSE,A short distance away or apart in space or time
SHRUB,A woody plant which is smaller than a tree
WEIRD,Suggesting something supernatural; uncanny
ODDER,More strange or peculiar
WHOSE,Belonging to or associated with which person
HAUNT,A place frequented by a specified person or group of people
CEDAR,A tall coniferous tree which has fragrant wood
DROOP,To bend or hang down limply
CIDER,An alcoholic beverage made from fermented apple juice
ELBOW,The joint between the forearm and the upper arm
BANAL,So lacking in originality as to be obvious and boring
STOOP,To bend one's head or body forward and downward
HARRY,To persistently harass
DALLY,To act or move slowly
WORRY,To feel or cause to feel anxious or troubled about actual or potential problems
SIREN,A device that makes a loud prolonged sound as a signal or warning
WOULD,Past tense of will, in various senses
DONOR,A person who donates something
FINER,Of better quality or finer in texture
FLUTE,A wind instrument made from a tube with holes along it
ANNUL,To declare invalid
NERDY,Characterized by an obsessive interest in a specified subject and a lack of social skills
STONE,A hard solid nonmetallic mineral matter
BENCH,A long seat for several people
FLAME,A hot glowing body of ignited gas
VICAR,An incumbent of a parish where tithes formerly passed to a chapter or religious house
ALLOW,To permit someone to have something
TONIC,A medicinal substance taken to give a feeling of vigor or well-being
ASSAY,To determine the content or quality of a metal or ore
MUMMY,A body of a human being or animal that has been ceremonially preserved
TOXIC,Poisonous
LUSTY,Healthy and strong; full of vigor
GRAIL,A thing that is being earnestly pursued or sought after
SUPER,Very good or pleasant; excellent
UNDUE,Unwarranted or inappropriate because excessive or disproportionate
ANGST,A feeling of deep anxiety or dread
BELLY,The front part of the human trunk below the ribs
ALGAE,A simple nonflowering plant of a large group that includes the seaweeds
COAST,The part of the land near the sea
HOUND,A dog of a breed used for hunting
PLAIN,Not decorated or elaborate; simple or ordinary in character
BROWN,The color of earth or wood
TRACK,A rough road or path
BITTY,Tiny
ABASE,To behave in a way that belittles or degrades someone
OTHER,Used to refer to a person or thing that is different from one already mentioned
DOGMA,A principle or set of principles laid down by an authority as incontrovertibly true
SPINE,A series of vertebrae extending from the skull to the pelvis
GEESE,Plural of goose
SNACK,A small amount of food eaten between meals
PANIC,A sudden uncontrollable fear or anxiety
LOUSY,Very poor or bad; disgusting
AMEND,To make minor changes in a text in order to make it fairer, more accurate, or more up-to-date
GENIE,A spirit of Arabian folklore
STUNT,An action displaying spectacular skill and daring
DINGY,Gloomy and drab
CHILI,The pungent, dried fruit of certain varieties of capsicum
SONAR,A system for the detection of objects under water and for measuring the water's depth
DIRGE,A lament for the dead
PORCH,A covered shelter projecting in front of the entrance of a building
HEAVE,To lift or haul a heavy thing with great effort
AXIOM,A statement or proposition which is regarded as being established, accepted, or self-evidently true
NEVER,At no time in the past or future
AGENT,A person who acts on behalf of another person or group
MUCKY,Covered with dirt or filth
PUBIC,Relating to or situated in the region of the pubis
CIRCA,Approximately
TWICE,Two times; on two occasions
FOIST,To impose an unwelcome or unnecessary person or thing on
SCOPE,The extent of the area or subject matter that something deals with
ULTRA,Going beyond what is usual or ordinary
CLEAR,Easy to perceive, understand, or interpret
ETHOS,The characteristic spirit of a culture, era, or community
FLING,To throw or hurl forcefully
HUMID,Marked by a relatively high level of water vapor in the atmosphere
DWARF,A member of a mythical race of short, stocky human-like creatures
CHUTE,A sloping channel or slide for conveying things to a lower level
RELAX,To make or become less tense or anxious
CHUMP,A foolish or easily deceived person
CHEAT,To act dishonestly or unfairly in order to gain an advantage
ALOFT,Up in or into the air; overhead
CATTY,Deliberately hurtful in one's remarks
BOOZY,Fond of drinking alcohol
OUTER,Outside; external
IRATE,Feeling or characterized by great anger
ALOUD,Audibly; not silently or in a whisper
SCALP,The skin covering the head, excluding the face
TUTOR,A private teacher
SHOAL,A large number of fish swimming together
PULPY,Resembling or consisting of pulp; soft and fleshy
SMART,Having or showing a quick-witted intelligence
THEME,The subject of a talk, a piece of writing, a person's thoughts, or an exhibition
BUTCH,Having an appearance or behavior traditionally associated with men
SILLY,Having or showing a lack of common sense or judgment
REGAL,Of, resembling, or fit for a monarch
DOZEN,A group of set of twelve
GOOEY,Soft and sticky
SLYLY,In a cunning and deceitful or manipulative manner
STAND,To have or maintain an upright position, supported by one's feet
ICILY,In a very cold or unfriendly way
EXTRA,Added to an existing or usual amount or number
GUESS,To estimate or suppose something without sufficient information to be sure of being correct
MOTEL,A roadside hotel designed primarily for motorists
CAMEL,A large, long-necked ungulate mammal of arid country
SNOOP,To investigate or look around furtively in an attempt to find out things
PAINT,A colored substance which is spread over a surface and dries to leave a thin decorative or protective coating
CHARD,A variety of beet with edible broad, flat, white stalks and large, succulent leaves
CLAIM,To state or assert that something is the case
MIRTH,Amusement, especially as expressed in laughter
SPORT,An activity involving physical exertion and skill in which an individual or team competes against another
SALVO,A simultaneous discharge of artillery or other guns in a battle
CRACK,To break or cause to break without a complete separation of the parts
HAVEN,A place of safety or refuge
BUDDY,A close friend
BATON,A thin stick used by a conductor to direct an orchestra or choir
WHELP,A puppy
WOOLY,Made of wool
FORTY,The number equivalent to the product of four and ten
PATTY,A small, flat cake of minced beef or other food
GRAPH,A diagram showing the relation between variable quantities
CHART,A sheet of information in the form of a table, graph, or diagram
STALE,No longer fresh and pleasant to eat; hard, musty, or dry
SHOOT,To kill or wound a person or animal with a bullet or arrow
TAROT,Playing cards, used for fortune-telling
FORCE,Strength or energy as an attribute of physical action or movement
SPIRE,A tapering conical or pyramidal structure on the top of a building
SHOCK,A sudden upsetting or surprising event or experience
LIEGE,A feudal superior or sovereign
TODDY,A drink made of alcoholic liquor with hot water, sugar, and spices
FOLIO,An individual leaf of paper or parchment
RECUR,To occur again, periodically, or repeatedly
DITTY,A short, simple song
PIZZA,A dish of Italian origin consisting of a usually round, flat base of leavened wheat-based dough
MOSSY,Covered in or resembling moss
GOING,The act of departing from a place
FOAMY,Consisting of or covered with foam
GRUNT,To make a low, short, guttural sound
EVENT,A thing that happens, especially one of importance
ETHER,A pleasant-smelling, colorless, volatile liquid
DEPOT,A place for the storage of large quantities of goods
CLONE,An organism or cell produced asexually from one ancestor or stock
APHID,A minute bug that feeds by sucking sap from plants
CLASP,To grasp something tightly with one's hand
CLANK,A loud, sharp sound or series of sounds
TEACH,To impart knowledge to or instruct someone as to how to do something
MAYBE,Perhaps; possibly
BEGIN,To start; perform or undergo the first part of an action or activity
GRADE,A particular level of rank, quality, proficiency, or value
TRIED,Past tense of try
SNUCK,Past tense of sneak
JUICE,The liquid obtained from or present in fruit or vegetables
EMBER,A small piece of burning or glowing coal or wood in a dying fire
VALID,Having a sound basis in logic or fact; reasonable or cogent
CRUSH,To deform, pulverize, or force inwards by compressing forcefully
OWNER,A person who owns something
SCONE,A small, unsweetened or lightly sweetened biscuit-like cake
SWOOP,To move rapidly downward through the air
NOBLE,Belonging to a hereditary class with high social or political status
TARDY,Delaying or delayed beyond the right or expected time
GECKO,A nocturnal and often highly vocal lizard
ROOMY,Having plenty of room; spacious
DEPTH,The distance from the top or surface of something to its bottom
DEFER,To put off an action or event to a later time
SPINY,Full of or covered with prickles
POWER,The ability to do something or act in a particular way
BADLY,In an unsatisfactory, inadequate, or unsuccessful way
CHIRP,A short, sharp, high-pitched sound made by a small bird or insect
EMCEE,A master of ceremonies
THANK,To express gratitude to someone
VOILA,Used to call attention, to express satisfaction or approval, or to suggest an appearance as if by magic
MAXIM,A short, pithy statement expressing a general truth or rule of conduct
OUTDO,To be superior to in action or performance
PALSY,Paralysis, especially that which is accompanied by involuntary tremors
LURCH,To make an abrupt, unsteady, uncontrolled movement or series of movements
OVERT,Done or shown openly; not secret or hidden
SPORE,A minute, typically one-celled, reproductive unit
DEBAR,To exclude or prohibit someone officially from doing something
AMITY,A friendly relationship
BEARD,A growth of hair on the chin and lower cheeks of a man's face
SHEER,Nothing other than; unmitigated
VAGUE,Of uncertain, indefinite, or unclear character or meaning
LUNAR,Relating to, determined by, or resembling the moon
RESET,To set again or differently
AMISS,Not quite right; inappropriate or out of place
YACHT,A medium-sized sailing boat equipped for cruising or racing
SMELL,The faculty or power of perceiving odors or scents by means of the organs in the nose
MORON,A stupid person
ROUND,Shaped like or approximately like a circle or cylinder
SOGGY,Wet and soft
BRIEF,Of short duration; not lasting for long
PLAID,A checkered or tartan twilled cloth
KNAVE,A dishonest or unscrupulous man
ALLAY,To diminish or put at rest fear, suspicion, or worry
VOICE,The sound produced in a person's larynx and uttered through the mouth
DROLL,Curious or unusual in a way that provokes dry amusement
GROWN,Past participle of grow
SAUNA,A small room used as a hot-air or steam bath for cleaning and refreshing the body
GRIPE,To complain about something in a persistent, irritating way
ASSET,A useful or valuable thing, person, or quality
FAVOR,An act of kindness beyond what is due or usual
CRAWL,To move forward on the hands and knees or by dragging the body close to the ground
SEGUE,To move without interruption from one song, topic, or scene to another
SLICE,A thin, broad piece of food
CLOAK,A sleeveless outdoor overgarment that hangs loosely from the shoulders
ONION,A swollen edible bulb used as a vegetable
UNITY,The state of being united or joined as a whole
ZESTY,Having a strong, pleasant, and somewhat spicy flavor
ARMOR,The metal coverings formerly worn by soldiers or warriors to protect the body in battle
COYLY,In a shy and modest way
FIERY,Consisting of fire or burning strongly and brightly
SNEAK,To move stealthily
NEEDY,Requiring someone or something for survival or success
REUSE,To use again or more than once
OFFAL,The entrails and internal organs of an animal used as food
THERE,In, at, or to that place or position
DREAM,A series of thoughts, images, and sensations occurring in a person's mind during sleep
QUAKE,To shake or tremble
SKIFF,A shallow, flat-bottomed open boat
BLIND,Unable to see
TAINT,A trace of a bad or undesirable quality or substance
GOURD,A fleshy, typically large fruit with a hard skin
CRIME,An action or omission that constitutes an offense that may be prosecuted by the state
JUMPY,Anxious and uneasy
LOCAL,Relating or restricted to a particular area or neighborhood
ADAPT,To make something suitable for a new use or purpose; modify
SPOOF,A humorous imitation of something
BEFIT,To be appropriate for; suit
TORUS,A surface or solid formed by rotating a circle in three-dimensional space about an axis
EPOXY,A type of polymer that has strong adhesive qualities
MISSY,A familiar form of address to a young woman or girl
NUDGE,To prod someone gently with one's elbow in order to attract attention
UPPER,Situated above another part
BUGLE,A brass instrument like a small trumpet
AXIAL,Relating to or forming an axis
DOUBT,A feeling of uncertainty or lack of conviction
GLEAM,To shine brightly, especially with reflected light
REPEL,To drive or force an attacker or hostile intruder away
SNIFF,To draw in air audibly through the nose to detect a smell
ENTRY,An act of going or coming in
MORAL,Concerned with the principles of right and wrong behavior
SCUBA,An apparatus for breathing underwater
FIZZY,Having a bubbling or sparkling quality
CHEEK,Either side of the face below the eye
MUDDY,Covered in or full of mud
FROND,The leaf or leaflike part of a palm, fern, or similar plant
STICK,A thin piece of wood that has fallen or been cut from a tree
STOIC,A person who can endure pain or hardship without showing their feelings or complaining
PITHY,Concise and forcefully expressive
GUSTO,Enjoyment and enthusiasm in doing something
OVATE,Having an oval shape
IDLER,A person who spends their time in a lazy, pointless way
BIDDY,A woman, especially an elderly one, regarded as fussy or interfering
ERROR,A mistake
TORCH,A portable battery-powered electric lamp
THREE,The number equivalent to the sum of one and two
UNCLE,The brother of one's father or mother
RALPH,To vomit
STONY,Full of or covered with stones
ACTOR,A person whose profession is acting on the stage, in movies, or on television
JUNTO,A military or political group that rules a country after taking power by force
DRUNK,Affected by alcohol to the extent of losing control of one's faculties or behavior
RIPEN,To become or make ripe
BUTTE,An isolated hill with steep sides and a flat top
WAVER,To shake with a quivering motion
SLATE,A fine-grained gray, green, or bluish-purple metamorphic rock
THINK,To have a particular opinion, belief, or idea about someone or something
CURRY,A dish of meat, vegetables, etc., cooked in a spicy sauce
INLET,A small arm of the sea, a lake, or a river
HOBBY,An activity done regularly in one's leisure time for pleasure
FLOSS,A soft thread for cleaning between the teeth
APNEA,A temporary cessation of breathing
BREED,To cause an animal to produce offspring
SAVOR,To taste good food or drink and enjoy it completely
RANCH,A large farm, especially in North America or Australia
BLEAT,The wavering cry made by a sheep, goat, or calf
KNOWN,Past participle of know
LEPER,A person suffering from leprosy
SIEGE,A military operation in which enemy forces surround a town or building
DOPEY,Stupid; silly
WAIST,The part of the human body below the ribs and above the hips
SHADY,Situated in or full of shade
HEADY,Potent; intoxicating
VAPOR,A substance diffused or suspended in the air
RADII,Plural of radius
FAULT,An unattractive or unsatisfactory feature
HATCH,A door in an aircraft, spacecraft, or submarine
UNLIT,Not illuminated
TRAWL,To fish with a trawl net or seine
QUARK,Any of a number of subatomic particles carrying a fractional electric charge
ABBEY,The building or buildings occupied by a community of monks or nuns
CREDO,A statement of the beliefs or aims which guide someone's actions
EKING,Making a living with difficulty
DRAFT,A preliminary version of a piece of writing
BUSED,Transported by bus
SUGAR,A sweet crystalline substance obtained from various plants
BIRTH,The emergence of a baby or other young from the body of its mother
DETOX,A process or period of time in which one abstains from or rids the body of toxic substances
AWARE,Having knowledge or perception of a situation or fact
LORRY,A large, heavy motor vehicle for transporting goods
OPTIC,Relating to the eye or vision
LAYER,A sheet, quantity, or thickness of material covering a surface or body
BONUS,A sum of money added to a person's wages as a reward for good performance
KRILL,A small shrimplike planktonic crustacean
PESKY,Causing trouble; annoying
WOOZY,Unsteady, dizzy, or dazed
TAUNT,A remark made in order to anger, wound, or provoke someone
QUOTE,To repeat or copy out a group of words from a text or speech
CRANE,A large, tall machine used for moving heavy objects
FRAIL,Weak and delicate
HUMOR,The quality of being amusing or comic
BEGAN,Past tense of begin
BLOAT,To make or become swollen with fluid or gas
MOWER,A person or machine that cuts grass
WHOOP,A loud cry of joy or excitement
MANGA,A style of Japanese comic books and graphic novels
SHOWN,Past participle of show
RUPEE,The basic monetary unit of India, Pakistan, Sri Lanka, Nepal, and other countries
HORSE,A large plant-eating domesticated mammal with solid hoofs
DIMLY,With a faint light; not brightly
TUMOR,A swelling of a part of the body, generally without inflammation
DAIRY,A building, room, or establishment for the storage, processing, and distribution of milk and milk products
AFFIX,To stick, attach, or fasten something to something else
HAUTE,Fashionably elegant or high-class
PRIED,Past tense of pry
DRAPE,To arrange cloth or clothing loosely or casually on or round something
MATCH,A contest in which people or teams compete against each other
TEASE,To make fun of or attempt to provoke in a playful way
GOUGE,To make a groove, hole, or indentation with or as if with a gouge
ABOUT,On the subject of; concerning
VAULT,A roof in the form of an arch or a series of arches
TENTH,Constituting number ten in a sequence
MUNCH,To eat something steadily and often audibly
BERET,A round, flattish cap of felt or cloth
POINT,The tapered, sharp end of a tool, weapon, or other object
BURNT,Past participle of burn
CORER,A device for removing the core from a fruit
AWARD,A prize or other mark of recognition given in honor of an achievement
ARTSY,Making a strong, affected, or pretentious display of being artistic
PENNE,A type of pasta with cylinder-shaped pieces
ROAST,To cook food by prolonged exposure to heat in an oven or over a fire
VOTER,A person who votes
ARBOR,A shady garden alcove with sides and a roof formed by trees or climbing plants
WINCH,A hauling or lifting device consisting of a rope, cable, or chain winding around a horizontal rotating drum
TYING,The action of fastening or attaching with string, cord, or the like
MAPLE,A tree or shrub with lobed leaves, winged fruits, and sugary sap
SHAWL,A piece of fabric worn by women over the shoulders or head or wrapped around a baby
SPICY,Flavored with or fragrant with spice
FERAL,In a wild state, especially after escape from captivity or domestication
COMET,A celestial object consisting of a nucleus of ice and dust
SUMAC,A shrub or small tree of the cashew family
SPARK,A small fiery particle thrown off from a fire
SUITE,A set of rooms designated for one person's or family's use or for a particular purpose
CARRY,To support and move someone or something from one place to another
STEER,To guide or control the movement of a vehicle, vessel, or aircraft
TABLE,A piece of furniture with a flat top and one or more legs
BOSSY,Fond of giving people orders; domineering
INTRO,An introduction
SLUMP,To sit, lean, or fall heavily and limply
FANNY,A person's buttocks
SLOTH,Reluctance to make an effort; laziness
ABYSS,A deep or seemingly bottomless chasm
AMASS,To gather together or accumulate a large amount or number of valuable material
STOMP,To tread heavily and noisily
BEADY,Small, round, and glittering
FREED,Past participle of free
CACAO,A beanlike seed from which cocoa, cocoa butter, and chocolate are made
BLITZ,An intensive or sudden military attack
WAGON,A vehicle used for transporting goods or another specified purpose
SPEAK,To say something in order to convey information, an opinion, or a feeling
BULKY,Taking up much space; large and unwieldy
BRINY,Of salty water or the sea
HUNCH,A feeling or guess based on intuition rather than known facts
BLURB,A short description of a book, movie, or other product
MOUSE,A small rodent that typically has a pointed snout, relatively large ears and eyes
GUSTY,Characterized by or blowing in gusts
PLUMB,To measure the depth of a body of water
MASON,A person skilled in cutting, dressing, and laying stone in buildings
ATTIC,A space or room just below the roof of a building
VISTA,A pleasing view
VINYL,A synthetic plastic polymer
SHUCK,To remove the shucks from corn or shellfish
ROUTE,A way or course taken in getting from a starting point to a destination
SHAKY,Shaking or trembling
PRIME,Of first importance; main
MANIC,Showing wild, apparently deranged, excitement and energy
NAIVE,Showing a lack of experience, wisdom, or judgment
INNER,Situated inside or further in
HORNY,Feeling or arousing sexual excitement
VOGUE,The prevailing fashion or style at a particular time
PLUSH,A rich fabric of silk, cotton, or wool
ETUDE,A short musical composition
SLEEP,A condition of body and mind such as that which typically recurs for several hours every night
WHINE,A long, high-pitched complaining cry
UNCUT,Not cut
PLIER,A tool used for gripping or bending small objects
GOOSE,A large water bird with a long neck, short legs, webbed feet
SPIKY,Having many sharp points
